Team,Sck,Comb,Asst,Solo
,44,920,150,704
49ers,,,,
,56,967,171,717
Bears,,,,
,28,1149,348,691
Bengals,,,,
,34,1072,298,570
Bills,,,,
,40,955,142,727
Broncos,,,,
,36,1062,243,640
Browns,,,,
,30,1030,215,658
Buccaneers,,,,
,50,909,155,663
Cardinals,,,,
,38,1148,262,702
Chargers,,,,
,32,1145,244,771
Chiefs,,,,
,16,1165,276,695
Colts,,,,
,31,1090,217,758
Cowboys,,,,
,38,1061,207,735
Dolphins,,,,
,49,1044,174,796
Eagles,,,,
,23,1126,246,736
Falcons,,,,
,16,1220,334,630
Giants,,,,
,38,1107,211,767
Jaguars,,,,
,28,1202,277,730
Jets,,,,
,27,1075,254,723
Lions,,,,
,38,1088,248,722
Packers,,,,
,50,1057,258,667
Panthers,,,,
,25,1109,259,627
Patriots,,,,
,44,1098,207,788
Raiders,,,,
,34,1075,171,797
Rams,,,,
,40,1179,292,665
Ravens,,,,
Redskins,46,1078,295,642
,26,1102,218,744
Saints,,,,
,35,1007,200,675
Seahawks,,,,
,43,1154,330,636
Steelers,,,,
,32,1132,275,676
Texans,,,,
,27,962,192,604
Titans,,,,
,36,1070,279,684
Vikings,,,,
