Team,FF,FR,FR TD,Rec FUM,Rush FUM
,15,11,1,7,5
49ers,,,,,
,26,20,1,10,12
Bears,,,,,
,16,16,1,4,8
Bengals,,,,,
,21,9,0,6,11
Bills,,,,,
,19,8,1,1,6
Broncos,,,,,
,16,12,0,5,9
Browns,,,,,
,11,8,0,4,3
Buccaneers,,,,,
,13,11,1,4,5
Cardinals,,,,,
,18,14,2,6,9
Chargers,,,,,
,14,6,1,6,7
Chiefs,,,,,
,6,3,0,3,4
Colts,,,,,
,14,9,2,3,4
Cowboys,,,,,
,15,6,0,6,3
Dolphins,,,,,
,13,5,0,0,7
Eagles,,,,,
,15,11,1,4,8
Falcons,,,,,
,16,14,1,5,8
Giants,,,,,
,12,11,0,2,4
Jaguars,,,,,
,14,12,1,3,7
Jets,,,,,
,11,6,0,3,4
Lions,,,,,
,8,5,1,4,3
Packers,,,,,
,16,12,0,1,7
Panthers,,,,,
,30,21,3,9,19
Patriots,,,,,
,9,8,0,6,3
Raiders,,,,,
,12,4,1,2,4
Rams,,,,,
,10,12,0,3,11
Ravens,,,,,
Redskins,12,9,1,3,7
,11,11,0,2,6
Saints,,,,,
,18,13,1,5,8
Seahawks,,,,,
,15,10,0,5,6
Steelers,,,,,
,17,14,0,4,10
Texans,,,,,
,13,5,1,4,6
Titans,,,,,
,16,12,0,3,8
Vikings,,,,,
