Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
,223,76,23,10,181,52.5,77,19.4,1020
49ers,,,,,,,,,
,200,83,16,12,184,58.4,147,30.4,1021
Bears,,,,,,,,,
,225,74,16,5,178,49.2,72,18.7,1042
Bengals,,,,,,,,,
,245,91,10,4,170,54.8,98,20.8,1089
Bills,,,,,,,,,
,218,83,15,4,208,58.3,90,21.4,1074
Broncos,,,,,,,,,
,244,109,9,4,197,54.3,103,22.3,1107
Browns,,,,,,,,,
,204,80,14,8,190,54,95,21.7,1020
Buccaneers,,,,,,,,,
,221,78,16,6,208,56.7,68,18.4,1042
Cardinals,,,,,,,,,
,180,70,13,6,208,57.1,98,26.1,959
Chargers,,,,,,,,,
,229,78,18,9,189,56.6,88,20.6,1067
Chiefs,,,,,,,,,
,210,79,19,10,191,59,101,22.5,1026
Colts,,,,,,,,,
,210,91,18,9,231,57.3,122,27.9,1094
Cowboys,,,,,,,,,
,238,91,15,8,192,55.8,114,23.6,1106
Dolphins,,,,,,,,,
,231,93,20,8,239,58.6,100,22.6,1150
Eagles,,,,,,,,,
,209,96,11,7,196,57.5,102,22.4,1003
Falcons,,,,,,,,,
,232,93,15,4,198,54.8,101,22.2,1089
Giants,,,,,,,,,
,226,96,12,9,200,56.5,121,23.9,1089
Jaguars,,,,,,,,,
,231,85,18,7,198,57.4,68,16.2,1048
Jets,,,,,,,,,
,211,64,12,9,197,58.3,62,16.4,982
Lions,,,,,,,,,
,204,78,17,10,190,57.2,116,26.9,1015
Packers,,,,,,,,,
,212,76,11,3,178,47.5,70,19.9,975
Panthers,,,,,,,,,
,232,98,21,4,208,61.9,110,22.9,1118
Patriots,,,,,,,,,
,211,91,6,2,202,54,100,22.6,1029
Raiders,,,,,,,,,
,201,78,16,9,203,57.2,87,19.8,1014
Rams,,,,,,,,,
,233,78,14,8,176,56.1,79,18,1032
Ravens,,,,,,,,,
Redskins,194,66,17,12,204,60.5,102,23,993
,199,69,12,4,168,55.3,82,21.2,943
Saints,,,,,,,,,
,216,76,11,4,156,50.5,83,19.7,990
Seahawks,,,,,,,,,
,230,91,20,9,174,52.9,106,24.5,1036
Steelers,,,,,,,,,
,217,75,8,3,158,55.1,88,19.4,970
Texans,,,,,,,,,
,201,69,11,7,191,55.5,108,24.2,1027
Titans,,,,,,,,,
,231,102,18,11,247,58.9,101,22.8,1132
Vikings,,,,,,,,,
