Team,INT,INT TD,INT Yds,Lng
,2,1,55,32T
49ers,,,,
,27,5,330,49T
Bears,,,,
,12,3,222,58T
Bengals,,,,
,16,0,133,37
Bills,,,,
,17,2,158,53T
Broncos,,,,
,17,0,100,50
Browns,,,,
,9,0,97,50
Buccaneers,,,,
,7,0,55,25
Cardinals,,,,
,13,1,247,86
Chargers,,,,
,15,3,280,67
Chiefs,,,,
,15,0,220,47
Colts,,,,
,9,0,141,49
Cowboys,,,,
,21,3,321,54
Dolphins,,,,
,10,0,139,29
Eagles,,,,
,15,1,151,41T
Falcons,,,,
,16,3,191,46
Giants,,,,
,11,2,117,33T
Jaguars,,,,
,13,3,318,104
Jets,,,,
,7,2,148,67T
Lions,,,,
,7,1,100,27
Packers,,,,
,13,0,86,39
Panthers,,,,
,18,1,156,84T
Patriots,,,,
,14,1,124,36T
Raiders,,,,
,18,3,290,50T
Rams,,,,
,12,0,99,33
Ravens,,,,
Redskins,15,0,203,40
,12,1,259,78
Saints,,,,
,12,1,196,98T
Seahawks,,,,
,8,2,89,35
Steelers,,,,
,15,3,252,101T
Texans,,,,
,11,2,120,56T
Titans,,,,
,12,1,159,52
Vikings,,,,
