Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
,192,64,25,8,150,47.2,105,26.2,968
49ers,,,,,,,,,
,209,76,23,13,190,52.5,86,20.8,1017
Bears,,,,,,,,,
,209,89,10,5,183,59.4,124,24.6,1034
Bengals,,,,,,,,,
,212,76,21,8,169,48.6,93,24,985
Bills,,,,,,,,,
,211,79,19,9,175,50.3,96,22.5,1003
Broncos,,,,,,,,,
,195,74,17,6,184,57.9,124,26.8,1014
Browns,,,,,,,,,
,218,75,27,13,222,54.4,70,19.3,1073
Buccaneers,,,,,,,,,
,214,100,14,3,243,57.7,94,21.4,1080
Cardinals,,,,,,,,,
,195,88,13,8,156,47.6,101,23.5,923
Chargers,,,,,,,,,
,202,75,31,16,190,54,115,27.6,1043
Chiefs,,,,,,,,,
,199,85,19,8,207,52.5,93,24.3,986
Colts,,,,,,,,,
,201,67,22,10,188,50.8,101,24.8,1015
Cowboys,,,,,,,,,
,194,81,13,8,214,62.2,113,23.3,1053
Dolphins,,,,,,,,,
,205,70,18,11,185,53.2,76,21.5,967
Eagles,,,,,,,,,
,193,77,20,12,192,54.7,108,25.7,985
Falcons,,,,,,,,,
,216,86,14,8,211,57.2,100,21.3,1061
Giants,,,,,,,,,
,190,79,11,5,193,59,114,26.2,999
Jaguars,,,,,,,,,
,225,88,12,3,187,51.5,75,18,1037
Jets,,,,,,,,,
,214,94,15,7,232,60.9,94,20.7,1094
Lions,,,,,,,,,
,197,75,18,8,191,58.6,99,24.1,998
Packers,,,,,,,,,
,193,77,9,6,197,56.8,128,28.8,1042
Panthers,,,,,,,,,
,195,47,22,8,150,49.5,72,19.7,948
Patriots,,,,,,,,,
,190,81,13,9,201,59.6,91,22.5,963
Raiders,,,,,,,,,
,218,86,24,14,194,55.7,100,22.5,1056
Rams,,,,,,,,,
,194,72,18,6,163,51.3,74,21.8,921
Ravens,,,,,,,,,
Redskins,227,111,19,12,200,53.9,120,24.3,1079
,210,73,25,11,197,53.1,71,20.6,999
Saints,,,,,,,,,
,185,71,12,7,224,58.5,97,25,1014
Seahawks,,,,,,,,,
,209,76,21,10,164,52.2,110,23.8,1030
Steelers,,,,,,,,,
,202,98,16,7,220,58.7,98,24.3,1020
Texans,,,,,,,,,
,204,74,25,10,213,55.2,95,22.9,1056
Titans,,,,,,,,,
,214,85,29,16,215,54.6,78,19.3,1053
Vikings,,,,,,,,,
