Team,Rsh TD,Rec TD,Tot TD,2-PT
"Redskins
            
          

                  

            Redskins",12,16,29,2
"Buccaneers
            
          

                  

            Buccaneers",11,36,49,1
"Seahawks
            
          

                  

            Seahawks",15,35,52,1
"49ers
            
          

                  

            49ers",7,26,35,2
"Chargers
            
          

                  

            Chargers",16,32,51,6
"Steelers
            
          

                  

            Steelers",16,35,54,4
"Cardinals
            
          

                  

            Cardinals",9,15,27,2
"Eagles
            
          

                  

            Eagles",12,29,41,5
"Jets
            
          

                  

            Jets",11,18,34,0
"Giants
            
          

                  

            Giants",13,23,39,4
"Saints
            
          

                  

            Saints",26,33,60,4
"Patriots
            
          

                  

            Patriots",18,29,51,0
"Vikings
            
          

                  

            Vikings",9,30,42,3
"Dolphins
            
          

                  

            Dolphins",7,26,38,1
"Raiders
            
          

                  

            Raiders",9,19,30,1
"Rams
            
          

                  

            Rams",23,32,60,5
"Chiefs
            
          

                  

            Chiefs",16,50,71,1
"Jaguars
            
          

                  

            Jaguars",7,15,25,0
"Colts
            
          

                  

            Colts",13,39,52,4
"Texans
            
          

                  

            Texans",12,26,42,0
"Titans
            
          

                  

            Titans",15,16,34,0
"Packers
            
          

                  

            Packers",14,25,41,3
"Lions
            
          

                  

            Lions",11,22,35,0
"Broncos
            
          

                  

            Broncos",18,19,39,0
"Cowboys
            
          

                  

            Cowboys",13,22,36,2
"Browns
            
          

                  

            Browns",15,29,44,4
"Bengals
            
          

                  

            Bengals",13,27,45,1
"Bears
            
          

                  

            Bears",16,28,50,4
"Panthers
            
          

                  

            Panthers",17,28,46,2
"Bills
            
          

                  

            Bills",15,13,29,1
"Ravens
            
          

                  

            Ravens",19,18,41,1
"Falcons
            
          

                  

            Falcons",11,36,49,2
